     Index              y_true              y_pred        descriptor_1        descriptor_2        descriptor_3
       201   -0.9676956146E+01   -0.9376116066E+01    0.7736345414E+01    0.2775000000E+02    0.1428571429E+00
       202   -0.8065547352E+01   -0.8494388099E+01    0.5802259061E+01    0.2500000000E+02    0.1428571429E+00
       203   -0.7388649354E+01   -0.8018791135E+01    0.4641807249E+01    0.2400000000E+02    0.1428571429E+00
       204   -0.9862453101E+01   -0.1012081678E+02    0.1160451812E+02    0.2394117647E+02    0.3333333333E+00
       205   -0.9059778696E+01   -0.8790199181E+01    0.7736345414E+01    0.2370588235E+02    0.3333333333E+00
       206   -0.7849026953E+01   -0.8064438101E+01    0.5802259061E+01    0.2285294118E+02    0.3333333333E+00
       207   -0.7394169305E+01   -0.7651711510E+01    0.4641807249E+01    0.2261764706E+02    0.3333333333E+00
       208   -0.1027427011E+02   -0.9083572085E+01    0.7736345414E+01    0.2358333333E+02    0.1052631579E+00
       209   -0.8801663760E+01   -0.8338869289E+01    0.5802259061E+01    0.2250000000E+02    0.1052631579E+00
       210   -0.7887276854E+01   -0.7993446238E+01    0.4641807249E+01    0.2308333333E+02    0.1052631579E+00
       211   -0.8244148094E+01   -0.9083674037E+01    0.1160451812E+02    0.1672058824E+02    0.6666666667E+00
       212   -0.7328130695E+01   -0.7739756936E+01    0.7736345414E+01    0.1632352941E+02    0.6666666667E+00
       213   -0.6863905776E+01   -0.7093792867E+01    0.5802259061E+01    0.1644117647E+02    0.6666666667E+00
       214   -0.6540193235E+01   -0.6668975819E+01    0.4641807249E+01    0.1605882353E+02    0.6666666667E+00
       215   -0.9684244398E+01   -0.9139294266E+01    0.7736345414E+01    0.2550000000E+02    0.1818181818E+00
       216   -0.8023093774E+01   -0.8477785324E+01    0.5802259061E+01    0.2542857143E+02    0.1818181818E+00
       217   -0.7486205960E+01   -0.7972825823E+01    0.4641807249E+01    0.2407142857E+02    0.1818181818E+00
       218   -0.9042304539E+01   -0.9369120610E+01    0.1160451812E+02    0.1300000000E+02    0.2222222222E+00
       219   -0.8151459353E+01   -0.8020165819E+01    0.7736345414E+01    0.1254166667E+02    0.2222222222E+00
       220   -0.7147346225E+01   -0.7337124350E+01    0.5802259061E+01    0.1220833333E+02    0.2222222222E+00
       221   -0.6919992044E+01   -0.6919763085E+01    0.4641807249E+01    0.1191666667E+02    0.2222222222E+00
       222   -0.8670368847E+01   -0.8751509721E+01    0.7736345414E+01    0.2323529412E+02    0.3333333333E+00
       223   -0.7867160475E+01   -0.8071692374E+01    0.5802259061E+01    0.2294117647E+02    0.3333333333E+00
       224   -0.7311195888E+01   -0.7610603958E+01    0.4641807249E+01    0.2211764706E+02    0.3333333333E+00
       225   -0.8309664114E+01   -0.8688857757E+01    0.7736345414E+01    0.2786764706E+02    0.6666666667E+00
       226   -0.7629898202E+01   -0.7947379082E+01    0.5802259061E+01    0.2682352941E+02    0.6666666667E+00
       227   -0.7129705543E+01   -0.7399239381E+01    0.4641807249E+01    0.2494117647E+02    0.6666666667E+00
       228   -0.8975723689E+01   -0.8977278021E+01    0.1160451812E+02    0.1542647059E+02    0.6666666667E+00
       229   -0.7749549811E+01   -0.7664796107E+01    0.7736345414E+01    0.1541176471E+02    0.6666666667E+00
       230   -0.7153425793E+01   -0.6994651125E+01    0.5802259061E+01    0.1523529412E+02    0.6666666667E+00
       231   -0.6759493735E+01   -0.6566206941E+01    0.4641807249E+01    0.1480882353E+02    0.6666666667E+00
       232   -0.1055122552E+02   -0.1018368715E+02    0.1160451812E+02    0.2470588235E+02    0.3333333333E+00
       233   -0.1056159583E+02   -0.8911103745E+01    0.7736345414E+01    0.2517647059E+02    0.3333333333E+00
       234   -0.7695487023E+01   -0.8069274283E+01    0.5802259061E+01    0.2291176471E+02    0.3333333333E+00
